CMDLINE /usr/bin/python heap.py
MEM 18.589844 1515784078.3383
MEM 18.589844 1515784078.4388
MEM 18.589844 1515784078.5393
MEM 18.589844 1515784078.6398
MEM 18.589844 1515784078.7403
MEM 18.589844 1515784078.8407
MEM 18.589844 1515784078.9411
MEM 18.488281 1515784079.0415
MEM 18.425781 1515784079.1419
MEM 18.425781 1515784079.2424
MEM 18.425781 1515784079.3429
MEM 18.425781 1515784079.4433
MEM 18.425781 1515784079.5438
MEM 18.425781 1515784079.6443
MEM 18.425781 1515784079.7448
MEM 18.425781 1515784079.8452
MEM 18.425781 1515784079.9457
MEM 18.425781 1515784080.0462
MEM 18.449219 1515784080.1465
MEM 18.449219 1515784080.2470
MEM 18.449219 1515784080.3475
MEM 18.449219 1515784080.4479
MEM 18.449219 1515784080.5484
MEM 18.449219 1515784080.6489
MEM 18.449219 1515784080.7493
MEM 18.449219 1515784080.8498
MEM 18.449219 1515784080.9503
MEM 18.449219 1515784081.0508
MEM 18.449219 1515784081.1512
MEM 18.449219 1515784081.2516
MEM 18.449219 1515784081.3520
MEM 18.449219 1515784081.4525
MEM 18.449219 1515784081.5529
MEM 18.449219 1515784081.6534
MEM 18.449219 1515784081.7539
MEM 18.449219 1515784081.8544
MEM 18.449219 1515784081.9548
MEM 18.449219 1515784082.0553
MEM 18.449219 1515784082.1558
MEM 18.449219 1515784082.2562
MEM 18.449219 1515784082.3565
MEM 18.449219 1515784082.4568
MEM 18.445312 1515784082.5571
MEM 18.445312 1515784082.6574
MEM 18.445312 1515784082.7578
MEM 18.445312 1515784082.8581
MEM 18.445312 1515784082.9586
MEM 18.445312 1515784083.0591
MEM 18.445312 1515784083.1596
MEM 18.445312 1515784083.2601
MEM 18.445312 1515784083.3605
MEM 18.445312 1515784083.4610
MEM 18.445312 1515784083.5615
MEM 18.445312 1515784083.6618
MEM 18.445312 1515784083.7622
MEM 18.445312 1515784083.8627
MEM 18.445312 1515784083.9632
MEM 18.445312 1515784084.0637
MEM 18.445312 1515784084.1641
MEM 18.445312 1515784084.2646
MEM 18.445312 1515784084.3651
MEM 18.445312 1515784084.4655
MEM 18.445312 1515784084.5660
MEM 18.445312 1515784084.6665
MEM 18.445312 1515784084.7670
MEM 18.957031 1515784084.8673
MEM 18.445312 1515784084.9677
MEM 18.445312 1515784085.0682
MEM 18.445312 1515784085.1686
MEM 18.445312 1515784085.2691
MEM 18.445312 1515784085.3696
MEM 18.445312 1515784085.4701
MEM 18.445312 1515784085.5705
MEM 18.445312 1515784085.6710
MEM 18.445312 1515784085.7715
MEM 18.445312 1515784085.8719
MEM 18.445312 1515784085.9724
MEM 18.632812 1515784086.0728
MEM 18.445312 1515784086.1732
MEM 18.445312 1515784086.2737
MEM 18.445312 1515784086.3741
MEM 18.445312 1515784086.4746
MEM 18.445312 1515784086.5751
MEM 18.445312 1515784086.6756
MEM 18.445312 1515784086.7760
MEM 18.445312 1515784086.8765
MEM 18.445312 1515784086.9770
MEM 18.445312 1515784087.0775
MEM 18.445312 1515784087.1778
MEM 18.441406 1515784087.2782
MEM 18.433594 1515784087.3787
MEM 18.433594 1515784087.4791
MEM 18.433594 1515784087.5796
MEM 18.433594 1515784087.6801
MEM 18.433594 1515784087.7806
MEM 18.433594 1515784087.8810
MEM 18.433594 1515784087.9815
MEM 18.433594 1515784088.0820
MEM 18.433594 1515784088.1825
MEM 18.433594 1515784088.2829
MEM 19.460938 1515784088.3833
MEM 18.398438 1515784088.4838
MEM 18.398438 1515784088.5842
MEM 18.398438 1515784088.6847
MEM 18.398438 1515784088.7851
MEM 18.398438 1515784088.8856
MEM 18.398438 1515784088.9861
MEM 18.398438 1515784089.0866
MEM 18.398438 1515784089.1871
MEM 18.398438 1515784089.2875
MEM 18.398438 1515784089.3880
MEM 18.398438 1515784089.4883
MEM 18.589844 1515784089.5887
MEM 19.617188 1515784089.6891
MEM 19.617188 1515784089.7895
MEM 19.617188 1515784089.8899
MEM 19.617188 1515784089.9904
MEM 19.617188 1515784090.0909
MEM 19.617188 1515784090.1913
MEM 19.617188 1515784090.2917
MEM 19.617188 1515784090.3921
MEM 19.617188 1515784090.4926
MEM 19.617188 1515784090.5930
MEM 19.617188 1515784090.6933
MEM 18.910156 1515784090.7937
MEM 18.492188 1515784090.8942
MEM 18.492188 1515784090.9946
MEM 18.492188 1515784091.0951
MEM 18.492188 1515784091.1957
MEM 18.492188 1515784091.2961
MEM 18.492188 1515784091.3965
MEM 18.492188 1515784091.4969
MEM 18.492188 1515784091.5973
MEM 18.492188 1515784091.6977
MEM 18.492188 1515784091.7980
MEM 18.125000 1515784091.8984
MEM 18.410156 1515784091.9988
MEM 18.410156 1515784092.0993
MEM 18.410156 1515784092.1997
MEM 18.410156 1515784092.3001
MEM 18.410156 1515784092.4005
MEM 18.410156 1515784092.5011
MEM 18.410156 1515784092.6014
MEM 18.410156 1515784092.7019
MEM 18.410156 1515784092.8023
MEM 18.410156 1515784092.9027
MEM 18.410156 1515784093.0030
MEM 18.601562 1515784093.1034
MEM 18.121094 1515784093.2038
MEM 18.121094 1515784093.3042
MEM 18.121094 1515784093.4047
MEM 18.121094 1515784093.5052
MEM 18.121094 1515784093.6056
MEM 18.121094 1515784093.7061
MEM 18.121094 1515784093.8066
MEM 18.121094 1515784093.9070
MEM 18.121094 1515784094.0074
MEM 18.121094 1515784094.1077
MEM 18.121094 1515784094.2081
MEM 18.500000 1515784094.3084
MEM 18.238281 1515784094.4087
MEM 18.238281 1515784094.5090
MEM 18.238281 1515784094.6095
MEM 18.238281 1515784094.7100
MEM 18.238281 1515784094.8104
MEM 18.238281 1515784094.9109
MEM 18.238281 1515784095.0113
MEM 18.238281 1515784095.1118
MEM 18.238281 1515784095.2122
MEM 18.238281 1515784095.3126
MEM 19.781250 1515784095.4131
MEM 18.183594 1515784095.5136
MEM 18.183594 1515784095.6140
MEM 18.183594 1515784095.7145
MEM 18.183594 1515784095.8150
MEM 18.183594 1515784095.9154
MEM 18.183594 1515784096.0158
MEM 18.183594 1515784096.1162
MEM 18.183594 1515784096.2166
MEM 18.183594 1515784096.3170
MEM 18.183594 1515784096.4173
MEM 18.183594 1515784096.5177
MEM 18.468750 1515784096.6180
MEM 18.660156 1515784096.7185
MEM 18.660156 1515784096.8190
MEM 18.660156 1515784096.9195
MEM 18.660156 1515784097.0199
MEM 18.660156 1515784097.1204
MEM 18.660156 1515784097.2209
MEM 18.660156 1515784097.3213
MEM 18.660156 1515784097.4218
MEM 18.660156 1515784097.5223
MEM 18.660156 1515784097.6229
MEM 18.660156 1515784097.7232
MEM 18.464844 1515784097.8236
MEM 18.164062 1515784097.9240
MEM 18.164062 1515784098.0245
MEM 18.164062 1515784098.1250
MEM 18.164062 1515784098.2255
MEM 18.164062 1515784098.3259
MEM 18.164062 1515784098.4263
MEM 18.164062 1515784098.5268
MEM 18.164062 1515784098.6273
MEM 18.164062 1515784098.7277
MEM 18.164062 1515784098.8282
MEM 18.355469 1515784098.9286
MEM 18.546875 1515784099.0291
MEM 18.546875 1515784099.1295
MEM 18.546875 1515784099.2300
MEM 18.546875 1515784099.3304
MEM 18.546875 1515784099.4308
MEM 18.546875 1515784099.5313
MEM 18.546875 1515784099.6318
MEM 18.546875 1515784099.7322
MEM 18.546875 1515784099.8327
MEM 18.546875 1515784099.9332
MEM 18.546875 1515784100.0335
MEM 18.570312 1515784100.1339
MEM 18.570312 1515784100.2343
MEM 18.570312 1515784100.3348
MEM 18.570312 1515784100.4352
MEM 18.570312 1515784100.5357
MEM 18.570312 1515784100.6362
MEM 18.570312 1515784100.7366
MEM 18.570312 1515784100.8371
MEM 18.570312 1515784100.9376
MEM 18.570312 1515784101.0380
MEM 18.570312 1515784101.1385
MEM 18.570312 1515784101.2389
MEM 18.464844 1515784101.3392
MEM 18.464844 1515784101.4397
MEM 18.464844 1515784101.5402
MEM 18.464844 1515784101.6407
MEM 18.464844 1515784101.7412
MEM 18.464844 1515784101.8416
MEM 18.464844 1515784101.9421
MEM 18.464844 1515784102.0425
MEM 18.464844 1515784102.1430
MEM 18.464844 1515784102.2436
MEM 18.464844 1515784102.3440
MEM 18.460938 1515784102.4444
MEM 18.460938 1515784102.5447
MEM 18.460938 1515784102.6450
MEM 18.460938 1515784102.7454
MEM 18.460938 1515784102.8458
MEM 18.460938 1515784102.9461
MEM 18.460938 1515784103.0466
MEM 18.460938 1515784103.1470
MEM 18.460938 1515784103.2476
MEM 18.460938 1515784103.3480
MEM 18.460938 1515784103.4484
MEM 18.460938 1515784103.5487
MEM 18.460938 1515784103.6491
MEM 18.460938 1515784103.7495
MEM 18.460938 1515784103.8500
MEM 18.460938 1515784103.9505
MEM 18.460938 1515784104.0510
MEM 18.460938 1515784104.1513
MEM 18.460938 1515784104.2518
MEM 18.460938 1515784104.3522
MEM 18.460938 1515784104.4527
MEM 18.460938 1515784104.5532
MEM 18.460938 1515784104.6537
MEM 18.460938 1515784104.7540
MEM 18.652344 1515784104.8544
MEM 18.460938 1515784104.9548
MEM 18.460938 1515784105.0553
MEM 18.460938 1515784105.1556
MEM 18.460938 1515784105.2561
MEM 18.460938 1515784105.3565
MEM 18.460938 1515784105.4570
MEM 18.460938 1515784105.5575
MEM 18.460938 1515784105.6580
MEM 18.460938 1515784105.7584
MEM 18.460938 1515784105.8588
MEM 18.652344 1515784105.9591
MEM 19.937500 1515784106.0595
MEM 19.937500 1515784106.1600
MEM 19.937500 1515784106.2604
MEM 19.937500 1515784106.3608
MEM 19.937500 1515784106.4613
MEM 19.937500 1515784106.5617
MEM 19.937500 1515784106.6622
MEM 19.937500 1515784106.7627
MEM 19.937500 1515784106.8631
MEM 19.937500 1515784106.9637
MEM 19.937500 1515784107.0640
MEM 18.652344 1515784107.1644
MEM 19.421875 1515784107.2648
MEM 19.421875 1515784107.3653
MEM 19.421875 1515784107.4657
MEM 19.421875 1515784107.5662
MEM 19.421875 1515784107.6667
MEM 19.421875 1515784107.7672
MEM 19.421875 1515784107.8677
MEM 19.421875 1515784107.9681
MEM 19.421875 1515784108.0686
MEM 19.421875 1515784108.1690
MEM 19.421875 1515784108.2694
MEM 19.402344 1515784108.3697
MEM 18.566406 1515784108.4702
MEM 18.566406 1515784108.5707
MEM 18.566406 1515784108.6711
MEM 18.566406 1515784108.7716
MEM 18.566406 1515784108.8720
MEM 18.566406 1515784108.9725
MEM 18.566406 1515784109.0729
MEM 18.566406 1515784109.1733
MEM 18.566406 1515784109.2737
MEM 18.566406 1515784109.3741
MEM 18.343750 1515784109.4747
MEM 18.535156 1515784109.5751
MEM 18.535156 1515784109.6756
MEM 18.535156 1515784109.7760
MEM 18.535156 1515784109.8765
MEM 18.535156 1515784109.9769
MEM 18.535156 1515784110.0772
MEM 18.535156 1515784110.1777
MEM 18.535156 1515784110.2781
MEM 18.535156 1515784110.3785
MEM 18.535156 1515784110.4790
MEM 18.535156 1515784110.5794
MEM 18.277344 1515784110.6797
MEM 18.468750 1515784110.7802
MEM 18.468750 1515784110.8807
MEM 18.468750 1515784110.9811
MEM 18.468750 1515784111.0816
MEM 18.468750 1515784111.1821
MEM 18.468750 1515784111.2826
MEM 18.468750 1515784111.3830
MEM 18.468750 1515784111.4835
MEM 18.468750 1515784111.5839
MEM 18.468750 1515784111.6844
MEM 19.238281 1515784111.7847
MEM 18.371094 1515784111.8851
MEM 18.371094 1515784111.9856
MEM 18.371094 1515784112.0861
MEM 18.371094 1515784112.1866
MEM 18.371094 1515784112.2871
MEM 18.371094 1515784112.3875
MEM 18.371094 1515784112.4879
MEM 18.371094 1515784112.5884
MEM 18.371094 1515784112.6889
MEM 18.371094 1515784112.7893
MEM 18.371094 1515784112.8897
MEM 18.562500 1515784112.9901
MEM 18.371094 1515784113.0906
MEM 18.371094 1515784113.1910
MEM 18.371094 1515784113.2916
MEM 18.371094 1515784113.3920
MEM 18.371094 1515784113.4924
MEM 18.371094 1515784113.5929
MEM 18.371094 1515784113.6934
MEM 18.371094 1515784113.7938
MEM 18.371094 1515784113.8942
MEM 18.371094 1515784113.9947
MEM 18.371094 1515784114.0950
MEM 18.562500 1515784114.1954
MEM 18.371094 1515784114.2958
MEM 18.371094 1515784114.3962
MEM 18.371094 1515784114.4967
MEM 18.371094 1515784114.5972
MEM 18.371094 1515784114.6976
MEM 18.371094 1515784114.7981
MEM 18.371094 1515784114.8986
MEM 18.371094 1515784114.9991
MEM 18.371094 1515784115.0994
MEM 18.371094 1515784115.1998
MEM 18.562500 1515784115.3002
MEM 18.371094 1515784115.4006
MEM 18.371094 1515784115.5011
MEM 18.371094 1515784115.6016
MEM 18.371094 1515784115.7020
MEM 18.371094 1515784115.8025
MEM 18.371094 1515784115.9029
MEM 18.371094 1515784116.0035
MEM 18.371094 1515784116.1038
MEM 18.371094 1515784116.2041
MEM 18.371094 1515784116.3044
MEM 18.371094 1515784116.4047
MEM 18.562500 1515784116.5051
MEM 18.371094 1515784116.6054
MEM 18.371094 1515784116.7058
MEM 18.371094 1515784116.8062
MEM 18.371094 1515784116.9067
MEM 18.371094 1515784117.0072
MEM 18.371094 1515784117.1077
MEM 18.371094 1515784117.2081
MEM 18.371094 1515784117.3086
MEM 18.371094 1515784117.4090
MEM 18.371094 1515784117.5095
MEM 18.371094 1515784117.6098
MEM 18.562500 1515784117.7101
MEM 18.371094 1515784117.8106
MEM 18.371094 1515784117.9110
MEM 18.371094 1515784118.0116
MEM 18.371094 1515784118.1121
MEM 18.371094 1515784118.2124
MEM 18.371094 1515784118.3128
MEM 18.371094 1515784118.4132
MEM 18.371094 1515784118.5137
MEM 18.371094 1515784118.6140
MEM 18.371094 1515784118.7145
MEM 18.371094 1515784118.8148
MEM 18.562500 1515784118.9152
MEM 18.371094 1515784119.0157
MEM 18.371094 1515784119.1161
MEM 18.371094 1515784119.2165
MEM 18.371094 1515784119.3170
MEM 18.371094 1515784119.4174
MEM 18.371094 1515784119.5178
MEM 18.371094 1515784119.6183
MEM 18.371094 1515784119.7187
MEM 18.371094 1515784119.8191
MEM 18.371094 1515784119.9197
MEM 18.562500 1515784120.0201
MEM 18.371094 1515784120.1206
MEM 18.371094 1515784120.2210
MEM 18.371094 1515784120.3215
MEM 18.371094 1515784120.4219
MEM 18.371094 1515784120.5223
MEM 18.371094 1515784120.6227
MEM 18.371094 1515784120.7231
MEM 18.371094 1515784120.8236
MEM 18.371094 1515784120.9240
MEM 18.371094 1515784121.0245
MEM 18.371094 1515784121.1248
MEM 18.562500 1515784121.2252
MEM 18.371094 1515784121.3257
MEM 18.371094 1515784121.4261
MEM 18.371094 1515784121.5266
MEM 18.371094 1515784121.6271
MEM 18.371094 1515784121.7277
MEM 18.371094 1515784121.8282
MEM 18.371094 1515784121.9286
MEM 18.371094 1515784122.0291
MEM 18.371094 1515784122.1296
MEM 18.371094 1515784122.2301
MEM 18.371094 1515784122.3304
MEM 18.816406 1515784122.4307
MEM 18.371094 1515784122.5311
MEM 18.371094 1515784122.6314
MEM 18.371094 1515784122.7318
MEM 18.371094 1515784122.8321
MEM 18.371094 1515784122.9325
MEM 18.371094 1515784123.0329
MEM 18.371094 1515784123.1334
MEM 18.371094 1515784123.2340
MEM 18.371094 1515784123.3343
MEM 18.371094 1515784123.4348
MEM 18.562500 1515784123.5353
